Test R^2: 0.8306
Test MSE: 3.756999e-06

Top 10 absolute residuals (SampleID, y_true, y_pred, |err|):
MZ314997.2, 0.042000, 0.026378, 0.015622
MZ427312.1, 0.020000, 0.035361, 0.015361
OL869974.1, 0.007000, 0.020037, 0.013037
MZ314998.1, 0.026000, 0.037562, 0.011562
MZ068155.1, 0.042000, 0.030970, 0.011030
MZ477832.1, 0.036000, 0.025958, 0.010042
MZ068154.1, 0.042000, 0.033131, 0.008869
MZ724434.1, 0.020000, 0.027618, 0.007618
MZ724479.1, 0.020000, 0.025958, 0.005958
MZ477745.1, 0.036000, 0.030931, 0.005069
