feature,mean_abs_shap
S_1434,0.0016687150329168286
S_3527,0.000568553197461167
S_1451,0.00036221107580873253
S_426,0.00032290391367857256
S_571,0.0002203103567018012
S_53,0.00020674537629150513
ORF1ab_469,0.0002040035209312287
ORF1ab_2428,0.00019242368377380382
S_645,0.00017680583007284692
ORF1ab_5384,0.000103624093481873
S_3214,2.9806741296441087e-05
S_2043,2.8675961586077964e-05
ORF1ab_3564,2.6921892539118038e-05
S_2103,2.568787711899251e-05
S_1338,2.565134451552214e-05
ORF1ab_2418,2.4414207963911205e-05
S_461,1.7946738518176687e-05
ORF1ab_3193,1.7658586589081226e-05
ORF1ab_2997,1.4787082285322068e-05
S_643,1.4524615234059531e-05
E_213,7.510887849456268e-06
ORF1ab_6349,7.433027114978468e-06
N_656,6.1743867056409414e-06
S_1503,5.526129327358154e-06
ORF8_162,4.376170732754655e-06
ORF1ab_7788,3.907001743081666e-06
ORF1ab_11258,2.400422533003271e-06
ORF1ab_10368,2.342908835026062e-06
S_1017,1.7245529317909378e-06
ORF1ab_4966,8.817332279481389e-07
ORF1ab_6704,6.26847444061203e-07
ORF1ab_17259,3.390550333451946e-07
ORF1ab_2568,1.6504697593210904e-07
ORF1ab_4701,4.818587871951708e-08
M_8,2.9603080012314095e-08
S_720,2.7612566301864795e-17
S_721,1.2307104392478326e-17
ORF1ab_2420,2.771356735833127e-18
S_722,2.675457476625723e-19
S_262,0.0
S_263,0.0
S_261,0.0
S_265,0.0
S_260,0.0
S_259,0.0
S_258,0.0
S_257,0.0
S_256,0.0
S_255,0.0
S_254,0.0
S_253,0.0
S_252,0.0
S_251,0.0
S_264,0.0
S_284,0.0
S_283,0.0
S_282,0.0
S_281,0.0
S_280,0.0
S_279,0.0
S_278,0.0
S_277,0.0
S_276,0.0
S_268,0.0
S_274,0.0
S_273,0.0
S_272,0.0
S_271,0.0
S_270,0.0
S_269,0.0
S_250,0.0
S_267,0.0
S_266,0.0
S_275,0.0
S_228,0.0
S_227,0.0
S_226,0.0
S_225,0.0
S_224,0.0
S_223,0.0
S_222,0.0
S_221,0.0
S_220,0.0
S_248,0.0
S_218,0.0
S_217,0.0
S_216,0.0
S_215,0.0
S_214,0.0
S_972,0.0
S_213,0.0
S_212,0.0
S_211,0.0
S_219,0.0
S_249,0.0
S_285,0.0
S_247,0.0
S_246,0.0
S_245,0.0
S_244,0.0
S_243,0.0
S_242,0.0
S_241,0.0
S_229,0.0
S_239,0.0
S_238,0.0
S_237,0.0
S_236,0.0
S_235,0.0
S_234,0.0
S_233,0.0
S_232,0.0
S_231,0.0
S_230,0.0
S_240,0.0
S_346,0.0
S_345,0.0
S_344,0.0
S_343,0.0
S_342,0.0
S_341,0.0
S_340,0.0
S_339,0.0
S_338,0.0
S_289,0.0
S_336,0.0
S_335,0.0
S_334,0.0
S_333,0.0
S_332,0.0
S_331,0.0
S_330,0.0
S_329,0.0
S_328,0.0
S_337,0.0
S_365,0.0
S_364,0.0
S_363,0.0
S_362,0.0
S_361,0.0
S_360,0.0
S_359,0.0
S_358,0.0
S_357,0.0
S_347,0.0
S_971,0.0
S_355,0.0
S_354,0.0
S_353,0.0
S_352,0.0
S_351,0.0
S_350,0.0
S_349,0.0
S_348,0.0
S_356,0.0
S_305,0.0
S_304,0.0
S_303,0.0
S_302,0.0
S_301,0.0
S_300,0.0
S_299,0.0
S_298,0.0
S_297,0.0
S_327,0.0
S_295,0.0
S_294,0.0
S_293,0.0
S_292,0.0
S_291,0.0
S_290,0.0
S_288,0.0
S_287,0.0
S_286,0.0
S_296,0.0
S_326,0.0
S_325,0.0
S_324,0.0
S_323,0.0
S_322,0.0
S_321,0.0
S_320,0.0
S_319,0.0
S_318,0.0
S_306,0.0
S_316,0.0
S_315,0.0
S_314,0.0
S_313,0.0
S_312,0.0
S_311,0.0
S_310,0.0
S_309,0.0
S_308,0.0
S_307,0.0
S_317,0.0
ORF1ab_21114,0.0
ORF1ab_21113,0.0
ORF1ab_21112,0.0
ORF1ab_21111,0.0
ORF1ab_21110,0.0
ORF1ab_21109,0.0
ORF1ab_21108,0.0
ORF1ab_21107,0.0
ORF1ab_21106,0.0
S_973,0.0
ORF1ab_21105,0.0
ORF1ab_21104,0.0
ORF1ab_21103,0.0
ORF1ab_21102,0.0
ORF1ab_21101,0.0
ORF1ab_21100,0.0
ORF1ab_21099,0.0
ORF1ab_21098,0.0
ORF1ab_21097,0.0
S_978,0.0
S_19,0.0
S_17,0.0
S_14,0.0
S_13,0.0
ORF1ab_21259,0.0
ORF1ab_21255,0.0
ORF1ab_21207,0.0
ORF1ab_21195,0.0
ORF1ab_21187,0.0
ORF1ab_21115,0.0
ORF1ab_21135,0.0
ORF1ab_21126,0.0
ORF1ab_21124,0.0
ORF1ab_21122,0.0
ORF1ab_21121,0.0
ORF1ab_21120,0.0
ORF1ab_21119,0.0
ORF1ab_21118,0.0
ORF1ab_21117,0.0
ORF1ab_21116,0.0
ORF1ab_21177,0.0
ORF1ab_20846,0.0
S_981,0.0
ORF1ab_20844,0.0
ORF1ab_20813,0.0
ORF1ab_20799,0.0
ORF1ab_20795,0.0
ORF1ab_20793,0.0
ORF1ab_20790,0.0
ORF1ab_20772,0.0
ORF1ab_21096,0.0
ORF1ab_20753,0.0
ORF1ab_20750,0.0
ORF1ab_20746,0.0
ORF1ab_20744,0.0
ORF1ab_20731,0.0
ORF1ab_20666,0.0
ORF1ab_20715,0.0
ORF1ab_20698,0.0
ORF1ab_20672,0.0
ORF1ab_20667,0.0
ORF1ab_20763,0.0
ORF1ab_21095,0.0
ORF1ab_21094,0.0
ORF1ab_21054,0.0
ORF1ab_21042,0.0
ORF1ab_21041,0.0
ORF1ab_21040,0.0
ORF1ab_21038,0.0
ORF1ab_21033,0.0
S_979,0.0
ORF1ab_20859,0.0
ORF1ab_20991,0.0
ORF1ab_20969,0.0
ORF1ab_20959,0.0
ORF1ab_20955,0.0
ORF1ab_20952,0.0
ORF1ab_20930,0.0
ORF1ab_20905,0.0
ORF1ab_20878,0.0
S_980,0.0
ORF1ab_20873,0.0
ORF1ab_21006,0.0
S_192,0.0
S_191,0.0
S_190,0.0
S_189,0.0
S_188,0.0
S_187,0.0
S_186,0.0
S_185,0.0
S_184,0.0
S_27,0.0
S_182,0.0
S_181,0.0
S_180,0.0
S_179,0.0
S_178,0.0
S_177,0.0
S_176,0.0
S_175,0.0
S_174,0.0
S_183,0.0
S_210,0.0
S_366,0.0
S_974,0.0
S_209,0.0
S_975,0.0
S_208,0.0
S_207,0.0
S_206,0.0
S_205,0.0
S_193,0.0
S_203,0.0
S_202,0.0
S_201,0.0
S_200,0.0
S_199,0.0
S_198,0.0
S_197,0.0
S_196,0.0
S_195,0.0
S_194,0.0
S_204,0.0
S_121,0.0
S_97,0.0
S_80,0.0
S_79,0.0
S_78,0.0
S_77,0.0
S_76,0.0
S_75,0.0
S_74,0.0
S_173,0.0
S_72,0.0
S_66,0.0
S_63,0.0
S_61,0.0
S_60,0.0
S_57,0.0
S_977,0.0
S_39,0.0
S_36,0.0
S_31,0.0
S_73,0.0
S_172,0.0
S_171,0.0
S_170,0.0
S_169,0.0
S_168,0.0
S_167,0.0
S_166,0.0
S_165,0.0
S_164,0.0
S_130,0.0
S_162,0.0
S_161,0.0
S_160,0.0
S_159,0.0
S_158,0.0
S_157,0.0
S_976,0.0
S_156,0.0
S_148,0.0
S_146,0.0
S_163,0.0
S_855,0.0
S_854,0.0
S_853,0.0
S_852,0.0
S_851,0.0
S_850,0.0
S_849,0.0
S_848,0.0
S_847,0.0
S_369,0.0
S_846,0.0
S_845,0.0
S_844,0.0
S_843,0.0
S_842,0.0
S_841,0.0
S_840,0.0
S_839,0.0
S_960,0.0
S_959,0.0
S_876,0.0
S_875,0.0
S_874,0.0
S_873,0.0
S_872,0.0
S_871,0.0
S_870,0.0
S_869,0.0
S_868,0.0
S_856,0.0
S_866,0.0
S_865,0.0
S_864,0.0
S_863,0.0
S_862,0.0
S_861,0.0
S_860,0.0
S_859,0.0
S_858,0.0
S_857,0.0
S_867,0.0
S_817,0.0
S_816,0.0
S_815,0.0
S_814,0.0
S_813,0.0
